price,lat,lon
6.4e+08,4.717989,-74.07909
1.75e+08,4.76,-74.034
3.99e+08,4.588,-74.11
3.6e+09,4.666264,-74.08338
5e+08,4.733,-74.089
2.6e+08,4.768361,-74.04681
2.8e+09,4.685,-74.027
8.75e+08,4.697425,-74.03502
2.3e+09,4.716734,-74.03451
4.35e+08,4.658833,-74.11119
6.8e+08,4.700977,-74.03351
1.23e+09,4.717339,-74.08106
6.4e+08,4.69331,-74.04647
4.2e+08,4.63738,-74.06122
2.4e+08,4.666,-74.137
1.7e+08,4.729,-74.088
149900000,4.609,-74.206
4.5e+08,4.703032,-74.03029
8.3e+08,4.649675,-74.05361
5.5e+08,4.758,-74.057
3.3e+08,4.728067,-74.04262
8.85e+08,4.74,-74.054
399900000,4.68,-74.145
8.99e+08,4.657015,-74.0478
2.95e+08,4.728584,-74.03867
4.3e+08,4.620229,-74.07459
860444000,4.70291,-74.02817
3.5e+08,4.702,-74.039
2.39e+08,4.751881,-74.08532
4.8e+08,4.706417,-74.07605
7.2e+08,4.694465,-74.03598
5.68e+08,4.642599,-74.05942
3.1e+08,4.727,-74.048
129900000,4.716,-74.094
4.75e+08,4.68312,-74.05322
5.7e+08,4.706678,-74.03082
1.87e+08,4.559199,-74.09147
1.95e+08,4.668717,-74.05574
1.15e+09,4.692504,-74.04346
3.7e+08,4.72,-74.048
1.29e+09,4.716067,-74.03924
1.9e+08,4.722,-74.103
1.6e+09,4.715797,-74.07145
3.6e+08,4.75481,-74.04098
1.9e+08,4.722,-74.125
3.5e+08,4.725,-74.04
5.6e+08,4.685789,-74.043
8.2e+08,4.629,-74.08
7.5e+08,4.741,-74.057
9e+08,4.677334,-74.05319
1.1e+09,4.712455,-74.1272
1.8e+08,4.642,-74.156
7.374e+09,4.768858,-74.03651
4.45e+08,4.730518,-74.03678
3.2e+08,4.669539,-74.11739
1.1e+09,4.734,-74.074
1.2e+08,4.619873,-74.06884
1.9e+07,4.648282,-74.12786
3.6e+09,4.742247,-74.03828
4e+08,4.663,-74.052
4.3e+08,4.744401,-74.12674
4.9e+08,4.741011,-74.05643
1.55e+08,4.717615,-74.13054
4.2e+08,4.549,-74.138
3.45e+08,4.733,-74.075
3.95e+08,4.702073,-74.04366
2.25e+08,4.654,-74.151
304467638,4.645771,-74.06514
3.8e+08,4.681995,-74.04985
1.2e+09,4.689362,-74.04741
2.3e+09,4.679,-74.053
8.5e+08,4.700044,-74.05118
2.9e+08,4.633,-74.095
1e+09,4.741847,-74.03983
3.6e+08,4.648,-74.067
8.5e+08,4.695683,-74.05217
5.5e+08,4.704917,-74.03937
1.9e+09,4.691498,-74.09188
2.45e+08,4.759,-74.04
3.98e+08,4.726,-74.057
3.9e+08,4.662,-74.059
3.85e+08,4.670333,-74.10182
6.95e+08,4.678,-74.045
6e+08,4.7,-74.092
2.4e+08,4.713768,-74.12132
4.65e+08,4.645572,-74.06521
3372500000,4.698641,-74.03056
5.2e+08,4.738622,-74.0601
1e+09,4.727,-74.064
8e+08,4.649,-74.117
1779350000,4.667961,-74.11474
6.3e+08,4.648849,-74.08487
